"dist_id","dist_name","dist_code","state_id","is_active","lang_id","old_dist_code","old_dist_name","ro_id"
343,NORTH GARO HILLS,"11",15,true,100,,,8
363,LONGLENG,"11",17,true,100,,,8
374,GANJAM,"11",18,true,109,,,10
405,BATHINDA,"11",19,true,110,,,6
467,HAZARIBAGH,"11",22,true,100,,,1
501,LALITPUR,"11",24,true,100,,,5
577,DHAMTARI,"11",25,true,100,,,10
622,PITHORAGARH,"11",32,true,100,,,5
635,BIRBHUM,"11",33,true,96,,,1
12,VISAKHAPATNAM,"12",1,true,115,,,3
27,EAST SIANG,"12",2,true,100,,,8
44,GOLAGHAT,"12",3,true,95,,,8
72,GOPALGANJ,"12",4,true,100,,,1
113,DAHOD I,"12",6,true,99,,,2
147,GURUGRAM,"12",7,true,100,,,7
168,KULLU,"12",8,true,100,,,6
200,DHARWAD,"12",10,true,101,,,3
231,KOLLAM,"12",11,true,105,,,3
245,NARMADAPURAM (HOSHANGABAD),"12",12,true,100,,,9
299,NANDURBAR-I,"12",13,true,107,,,4
344,WEST GARO HILLS,"12",15,true,100,,,8
375,MAYURBHANJ,"12",18,true,109,,,10
406,JALANDHAR,"12",19,true,110,,,6
429,DUNGARPUR,"12",20,true,100,,,7
468,KODERMA,"12",22,true,100,,,1
502,FARRUKHABAD,"12",24,true,100,,,5
578,BASTAR,"12",25,true,100,,,10
623,BAGESHWAR,"12",32,true,100,,,5
636,COOCH BEHAR,"12",33,true,96,,,1
13,VIZIANAGARAM,"13",1,true,115,,,3
28,WEST KAMENG,"13",2,true,100,,,8
73,JEHANABAD,"13",4,true,100,,,1
114,BHAVNAGAR,"13",6,true,99,,,2
148,KARNAL,"13",7,true,100,,,7
201,BELAGAVI,"13",10,true,101,,,3
232,THIRUVANANTHAPURAM,"13",11,true,105,,,3
246,GWALIOR,"13",12,true,100,,,9
300,PALGHAR,"13",13,true,107,,,4
376,PURI,"13",18,true,109,,,10
407,MANSA,"13",19,true,110,,,6
430,AJMER,"13",20,true,100,,,7
469,LOHARDAGA,"13",22,true,100,,,1
503,MIRZAPUR,"13",24,true,100,,,5
579,KANKER,"13",25,true,100,,,10
624,PAURI GARHWAL,"13",32,true,100,,,5
637,HOWRAH,"13",33,true,96,,,1
29,DIBANG VALLEY,"14",2,true,100,,,8
46,DIBRUGARH,"14",3,true,95,,,8
74,JAMUI,"14",4,true,100,,,1
115,VADODARA,"14",6,true,99,,,2
149,PANCHKULA,"14",7,true,100,,,7
233,WAYANAD,"14",11,true,105,,,3
247,INDORE,"14",12,true,100,,,9
301,JALNA,"14",13,true,107,,,4
377,NUAPADA,"14",18,true,109,,,10
408,LUDHIANA,"14",19,true,110,,,6
431,JAISALMER,"14",20,true,100,,,7
470,LATEHAR,"14",22,true,100,,,1
504,BAHRAICH,"14",24,true,100,,,5
580,KOREA,"14",25,true,100,,,10
638,WEST MEDINIPUR,"14",33,true,96,,,1
15,ALLURI SITHARAMA RAJU (EAST GODAVARI-II),"15",1,true,115,,,3
30,ANJAW,"15",2,true,100,,,8
47,TINSUKIA,"15",3,true,95,,,8
75,KATIHAR,"15",4,true,100,,,1
116,GANDHINAGAR,"15",6,true,99,,,2
150,PANIPAT,"15",7,true,100,,,7
203,BELLARY,"15",10,true,101,,,3
248,JABALPUR,"15",12,true,100,,,9
302,HINGOLI,"15",13,true,107,,,4
575,SAKTI (JANJGIR CHAMPA),"09",25,true,100,,JANJGIR CHAMPA,10
45,JORHAT,"13",3,true,95,,,8
331,KANGPOKPI-I (SENAPATI II),"10",14,true,106,,SENAPATI II,8
471,RANCHI,"15",22,true,100,,,1
505,KANPUR NAGAR,"15",24,true,100,,,5
581,JASHPUR,"15",25,true,100,,,10
639,PURULIA,"15",33,true,96,,,1
31,K. KHUMEY,"16",2,true,100,,,8
48,LAKHIMPUR,"16",3,true,95,,,8
76,KHAGARIA,"16",4,true,100,,,1
117,BANASKANTHA,"16",6,true,99,,,2
151,AMBALA,"16",7,true,100,,,7
169,BARAMULLA,"01",9,true,100,,,6
170,DODA,"02",9,true,100,,,6
171,KUPWARA,"03",9,true,100,,,6
172,SHOPIAN,"04",9,true,100,,,6
645,KHAMMAM,"03",34,true,115,,,3
567,BILASPUR ,"01",25,true,100,,,10
644,KARIMNAGAR,"02",34,true,115,,,3
1,SRI SATHYA SAI (ANANTAPUR),"01",1,true,115,,ANANTAPUR,3
33,SRIBHUMI (KARIMGANJ),"01",3,true,100,,SRIBHUMI,8
100,SOUTH GOA,"01",5,true,100,,,4
102,GIR SOMNATH,"01",6,true,99,,,2
136,JHAJJAR,"01",7,true,100,,,7
367,KORAPUT,"04",18,true,109,,,10
398,S.B.S. NAGAR,"04",19,true,110,,,6
460,EAST SINGHBHUM,"04",22,true,100,,,1
486,NORTH TRIPURA,"04",23,true,96,,,8
330,EAST IMPHAL,"09",14,true,106,,,8
341,EAST JAINTIA HILLS,"09",15,true,100,,,8
361,ZUNHEBOTO,"09",17,true,100,,,8
372,BALASORE,"09",18,true,109,,,10
426,SIKAR,"09",20,true,100,,,7
378,ANGUL,"15",18,true,109,,,10
409,HOSHIARPUR,"15",19,true,110,,,6
432,SRI GANGANAGAR-I,"15",20,true,100,,,7
126,DAHOD II,"25",6,true,99,,,2
641,SOUTH DINAJPUR,"17",33,true,96,,DAKSHIN DINAJPUR,1
204,CHITRADURGA,"16",10,true,101,,,3
249,ALIRAJPUR,"16",12,true,100,,,9
303,GONDIA,"16",13,true,107,,,4
379,KENDRAPADA,"16",18,true,109,,,10
410,FARIDKOT,"16",19,true,110,,,6
433,JODHPUR,"16",20,true,100,,,7
472,SAHEBGANJ,"16",22,true,100,,,1
506,GONDA,"16",24,true,100,,,5
582,KABIRDHAM,"16",25,true,100,,,10
640,SOUTH 24 PARGANAS,"16",33,true,96,,,1
32,TIRAP,"17",2,true,100,,,8
49,GOALPARA,"17",3,true,95,,,8
77,KISHANGANJ,"17",4,true,100,,,1
118,MEHSANA,"17",6,true,99,,,2
152,YAMUNANAGAR,"17",7,true,100,,,7
205,CHAMARAJNAGAR,"17",10,true,101,,,3
250,KATNI,"17",12,true,100,,,9
304,WARDHA,"17",13,true,107,,,4
380,NABARANGPUR,"17",18,true,109,,,10
411,MOGA,"17",19,true,110,,,6
434,TONK,"17",20,true,100,,,7
473,DHANBAD,"17",22,true,100,,,1
583,SUKMA - II,"17",25,true,100,,,10
50,HAILAKANDI,"18",3,true,95,,,8
78,MADHEPURA,"18",4,true,100,,,1
119,PANCHMAHAL,"18",6,true,99,,,2
153,ROHTAK,"18",7,true,100,,,7
206,TUMKUR,"18",10,true,101,,,3
251,KHARGONE,"18",12,true,100,,,9
305,YAVATMAL,"18",13,true,107,,,4
381,SONEPUR,"18",18,true,109,,,10
412,TARN TARAN,"18",19,true,110,,,6
435,JHALAWAR,"18",20,true,100,,,7
474,PAKUR-I,"18",22,true,100,,,1
508,BASTI,"18",24,true,100,,,5
584,BALODA BAZAR,"18",25,true,100,,,10
642,JALPAIGURI,"18",33,true,96,,,1
51,BONGAIGAON,"19",3,true,95,,,8
79,MADHUBANI,"19",4,true,100,,,1
120,PORBANDAR,"19",6,true,99,,,2
154,FATEHABAD,"19",7,true,100,,,7
207,UDUPI,"19",10,true,101,,,3
252,MORENA,"19",12,true,100,,,9
306,CHANDRAPUR,"19",13,true,107,,,4
382,RAYAGADA,"19",18,true,109,,,10
413,BARNALA,"19",19,true,110,,,6
475,JAMTARA,"19",22,true,100,,,1
509,MATHURA,"19",24,true,100,,,5
585,GARIYABAND,"19",25,true,100,,,10
52,DHEMAJI,"20",3,true,95,,,8
80,MUNGER,"20",4,true,100,,,1
121,DANG,"20",6,true,99,,,2
155,NUH,"20",7,true,100,,,7
208,BANGALORE URBAN,"20",10,true,101,,,3
253,MANDSAUR,"20",12,true,100,,,9
307,SANGLI,"20",13,true,107,,,4
383,JHARSUGUDA,"20",18,true,109,,,10
437,PALI,"20",20,true,100,,,7
476,PALAMU-I,"20",22,true,100,,,1
510,G B NAGAR,"20",24,true,100,,,5
53,CHIRANG,"21",3,true,95,,,8
81,MUZAFFARPUR,"21",4,true,100,,,1
122,NAVSARI,"21",6,true,99,,,2
156,PALWAL,"21",7,true,100,,,7
209,GADAG,"21",10,true,101,,,3
254,MANDLA,"21",12,true,100,,,9
308,RATNAGIRI,"21",13,true,107,,,4
384,KHURDA,"21",18,true,109,,,10
415,AMRITSAR-II,"21",19,true,110,,,6
438,BIKANER,"21",20,true,100,,,7
477,SARAIKELA,"21",22,true,100,,,1
511,SITAPUR-I,"21",24,true,100,,,5
587,SARGUJA,"21",25,true,100,,,10
54,NAGAON,"22",3,true,95,,,8
82,NALANDA,"22",4,true,100,,,1
123,ANAND,"22",6,true,99,,,2
210,RAICHUR,"22",10,true,101,,,3
255,NARSINGHPUR,"22",12,true,100,,,9
309,SINDHUDURG,"22",13,true,107,,,4
385,GAJAPATI,"22",18,true,109,,,10
416,FAZILKA,"22",19,true,110,,,6
439,SIROHI,"22",20,true,100,,,7
478,SIMDEGA,"22",22,true,100,,,1
512,AGRA,"22",24,true,100,,,5
588,MUNGELI,"22",25,true,100,,,10
55,BAKSA,"23",3,true,95,,,8
83,NAWADA,"23",4,true,100,,,1
124,NARMADA,"23",6,true,99,,,2
211,HAVERI,"23",10,true,101,,,3
256,PANNA,"23",12,true,100,,,9
386,BOUDH,"23",18,true,109,,,10
417,GURDASPUR,"23",19,true,110,,,6
440,SAWAI MADHOPUR,"23",20,true,100,,,7
479,PAKUR-II,"23",22,true,100,,,1
513,UNNAO,"23",24,true,100,,,5
589,SUKMA - I,"23",25,true,100,,,10
56,DIMA HASAO,"24",3,true,95,,,8
84,PURNEA,"24",4,true,100,,,1
125,VALSAD,"24",6,true,99,,,2
212,DAVANGERE,"24",10,true,101,,,3
257,RAJGARH,"24",12,true,100,,,9
311,KOLHAPUR,"24",13,true,107,,,4
387,MALKANGIRI - I,"24",18,true,109,,,10
441,DAUSA,"24",20,true,100,,,7
480,PALAMU-II,"24",22,true,100,,,1
514,MUZAFFARNAGAR,"24",24,true,100,,,5
590,BEMETARA,"24",25,true,100,,,10
57,UDALGURI,"25",3,true,95,,,8
85,PATNA,"25",4,true,100,,,1
586,BALRAMPUR ,"20",25,true,100,,,10
436,KHAIRTHAL-TIJARA (ALWAR),"19",20,true,100,,ALWAR,7
414,SAHIBZADA AJIT SINGH NAGAR (MOHALI),"20",19,true,110,,MOHALI,6
213,DAKSHINA KANNADA,"25",10,true,101,,,3
258,RATLAM-I,"25",12,true,100,,,9
312,AKOLA,"25",13,true,107,,,4
388,BARGARH,"25",18,true,109,,,10
442,JHUNJHUNU,"25",20,true,100,,,7
481,KHUNTI,"25",22,true,100,,,1
515,BALLIA,"25",24,true,100,,,5
591,BALOD,"25",25,true,100,,,10
58,DHUBRI,"26",3,true,95,,,8
86,SAHARSA,"26",4,true,100,,,1
127,AHMEDABAD,"26",6,true,99,,,2
214,BAGALKOT,"26",10,true,101,,,3
259,RAISEN,"26",12,true,100,,,9
313,RAIGAD,"26",13,true,107,,,4
389,BHADRAK,"26",18,true,109,,,10
443,BUNDI,"26",20,true,100,,,7
482,RAMGARH,"26",22,true,100,,,1
516,BHADOHI,"26",24,true,100,,,5
592,NARAYANPUR,"26",25,true,100,,,10
87,SAMASTIPUR,"27",4,true,100,,,1
128,BOTAD,"27",6,true,99,,,2
215,MYSURU,"27",10,true,101,,,3
260,REWA,"27",12,true,100,,,9
314,SATARA,"27",13,true,107,,,4
390,JAJPUR,"27",18,true,109,,,10
444,DHOLPUR,"27",20,true,100,,,7
517,KUSHINAGAR,"27",24,true,100,,,5
593,KONDAGAON,"27",25,true,100,,,10
1123,KAMRUP (METRO),"28",3,true,95,,,8
88,SARAN,"28",4,true,100,,,1
216,KALABURAGI-II,"28",10,true,101,,,3
261,SAGAR,"28",12,true,100,,,9
315,SOLAPUR,"28",13,true,107,,,4
391,NAYAGARH,"28",18,true,109,,,10
445,KOTA,"28",20,true,100,,,7
518,ETAH,"28",24,true,100,,,5
89,SITAMARHI,"29",4,true,100,,,1
262,SEONI,"29",12,true,100,,,9
316,PUNE,"29",13,true,107,,,4
392,JAGATSINGHPUR,"29",18,true,109,,,10
446,BHARATPUR,"29",20,true,100,,,7
519,GHAZIPUR,"29",24,true,100,,,5
90,SIWAN,"30",4,true,100,,,1
131,MAHISAGAR,"30",6,true,99,,,2
218,KOLAR,"30",10,true,101,,,3
263,SHAHDOL,"30",12,true,100,,,9
317,WASHIM,"30",13,true,107,,,4
393,DEOGARH,"30",18,true,109,,,10
447,UDAIPUR,"30",20,true,100,,,7
520,HARDOI,"30",24,true,100,,,5
91,SHEIKHPURA,"31",4,true,100,,,1
132,SABARKANTHA,"31",6,true,99,,,2
219,KALABURAGI-I,"31",10,true,101,,,3
264,SHIVPURI,"31",12,true,100,,,9
318,PARBHANI,"31",13,true,107,,,4
394,MALKANGIRI - II,"31",18,true,109,,,10
448,HANUMANGARH,"31",20,true,100,,,7
521,MAU,"31",24,true,100,,,5
92,SUPAUL,"32",4,true,100,,,1
133,MORBI,"32",6,true,99,,,2
265,SIDHI,"32",12,true,100,,,9
319,DHULE,"32",13,true,107,,,4
449,KARAULI,"32",20,true,100,,,7
522,BARABANKI,"32",24,true,100,,,5
93,VAISHALI,"33",4,true,100,,,1
134,SURAT,"33",6,true,99,,,2
266,SEHORE,"33",12,true,100,,,9
320,NANDURBAR II,"33",13,true,107,,,4
450,BANSWARA-II,"33",20,true,100,,,7
523,BIJNORE,"33",24,true,100,,,5
